Date,Actual,LGBM_Pred,LGBM_Lower_90,LGBM_Upper_90
2025-05-29 10:00:00,11015.0,11282.017902921518,10933.058508586704,11875.100847878164
2025-05-29 11:00:00,11310.0,11571.05035704221,11241.417921049064,12175.772752805298
2025-05-29 12:00:00,11236.0,11824.09513716602,11344.631536612367,12292.232623658054
2025-05-29 13:00:00,11050.0,11491.150460576595,10775.684652876806,12090.318355090867
2025-05-29 14:00:00,10710.0,11383.846728952742,10851.196715588274,12011.271733384781
2025-05-29 15:00:00,10560.0,10922.999683510589,10249.371667167237,11474.215505733106
2025-05-29 16:00:00,10178.0,10594.29790511862,10150.546442029483,11325.032298138914
2025-05-29 17:00:00,9851.0,10396.344122174121,9952.613258119198,11912.867467890386
2025-05-29 18:00:00,10744.5,12185.710201848045,11125.35345818395,12438.872614237156
2025-05-29 19:00:00,10608.0,11417.184540502421,10813.070981308982,12204.12365974926
2025-05-29 20:00:00,10290.0,11151.821731838128,10384.925301518653,11610.218315106467
2025-05-29 21:00:00,9901.0,10536.008151700411,9718.970157623055,11262.368491835825
2025-05-29 22:00:00,9698.0,10138.796128217306,9305.717677792032,10966.213276655695
2025-05-29 23:00:00,9444.0,9897.514085785031,9173.532357315284,10819.900785707641
2025-05-30 00:00:00,9016.0,9153.578968621565,8870.312999069904,10638.87739703015
2025-05-30 01:00:00,8649.0,8785.020618258573,8464.046832933076,10512.776410461205
2025-05-30 02:00:00,8250.0,8507.2179102065,8200.63963000501,10337.777667955172
2025-05-30 03:00:00,7625.0,8037.693183537209,7813.373322562575,10190.193288469301
2025-05-30 04:00:00,7372.0,7671.6833418814795,7081.807014536733,9815.655609104831
2025-05-30 05:00:00,7297.0,7305.9196895088835,6797.204105274686,9413.885778606538
2025-05-30 06:00:00,7380.0,7486.1808555057305,7057.915184094333,9227.690320213229
2025-05-30 07:00:00,7490.0,7801.78177955617,7319.636663237345,9088.521946671219
2025-05-30 08:00:00,7629.0,7886.56714534754,7413.418418844837,9049.823526797609
2025-05-30 09:00:00,7996.0,7923.505767053852,7588.230376698866,8992.365366310385
2025-05-30 10:00:00,8789.0,8352.772188486228,8085.783574283131,9336.727789414179
2025-05-30 11:00:00,9414.0,9367.727480826414,8973.5008664723,9928.592202033862
2025-05-30 12:00:00,9850.0,9844.290265865342,9464.490868609955,10126.268947432029
2025-05-30 13:00:00,9716.0,9785.859426841664,9480.268750726764,10264.559391959643
2025-05-30 14:00:00,9983.0,9824.614938487974,9414.423169315056,10143.167073697756
2025-05-30 15:00:00,10086.0,9838.041648255294,9593.91265580637,10145.70278687664
2025-05-30 16:00:00,10233.0,9884.356695064187,9629.819553310132,10026.483426901788
2025-05-30 17:00:00,10509.0,10027.370508819957,9873.321115885998,10409.297763400567
2025-05-30 18:00:00,12114.0,11697.015099326825,11256.35823121843,11669.592876070714
2025-05-30 19:00:00,12670.0,12109.0353020079,11853.951037436582,12660.668896480496
2025-05-30 20:00:00,13299.0,12616.298513101538,12222.82270187269,13077.685009090472
2025-05-30 21:00:00,13088.0,12992.769994610855,12529.95080151139,13430.488115547914
2025-05-30 22:00:00,13209.0,12738.00431950497,12331.616807249116,13209.981604138062
